time, count
12281,7
12282,6
12283,14
12284,8
12285,13
12286,9
12287,9
12288,9
12289,6
12290,8
12291,6
12292,8
12293,7
12294,8
12295,6
12296,7
12297,6
12298,4
12299,13
12300,5
12301,12
12302,11
12303,8
12304,10
12305,9
12306,6
12307,11
12308,10
12309,10
12310,5
12311,6
12312,6
12313,9
12314,11
12315,10
12316,10
12317,7
12318,7
12319,2
12320,13
12321,12
12322,12
12323,6
12324,13
12325,6
12326,5
12327,9
12328,9
12329,12
12330,8
12331,7
12332,13
12333,11
12334,10
12335,5
12336,9
12337,13
12338,11
12339,13
12340,9
12341,13
12342,14
12343,13
12344,11
12345,13
12346,8
12347,11
12348,10
12349,9
12350,11
12351,10
12352,11
12353,12
12354,12
12355,6
12356,9
12357,15
12358,14
12360,15
12361,11
12362,11
12363,11
12364,16
12365,8
12366,11
12367,13
12368,9
12369,10
12370,15
12371,1
12372,10
12373,14
12374,7
12376,2
12377,20
12378,8
12379,1
12380,19
12381,12
12383,15
12386,17
12387,15
12389,10
12390,11
12391,12
12392,1
12393,15
12394,10
12395,15
12396,9
12397,8
12398,16
12399,9
12400,6
12401,8
12402,5
12403,7
12404,14
12405,7
12406,7
12407,7
12408,5
12409,4
12410,9
12411,10
12412,10
12413,6
12414,3
12415,11
12416,8
12417,14
12418,3
12419,7
12420,8
12421,11
12422,8
12423,5
12424,9
12425,14
12426,16
12427,12
12428,1
12429,24
12430,8
12432,24
12433,8
12435,3
12436,18
12437,18
12438,2
12439,19
12440,13
12442,17
12443,5
12444,9
12445,10
12446,10
12447,10
12448,10
12449,8
12450,11
12451,11
12452,11
12453,3
12454,5
12455,9
12456,16
12457,6
12458,7
12459,6
12460,6
12461,10
12462,9
12463,9
12464,14
12465,10
12466,12
12467,8
12468,12
12469,4
12470,13
12471,8
12472,11
12473,8
12474,12
12475,11
12476,10
12477,10
12478,14
12479,5
12480,17
12481,11
12482,8
12483,18
12484,10
12485,1
12486,22
12487,18
12490,8
12491,11
12493,15
12494,4
12496,19
12497,17
12499,18
12500,14
12502,17
12503,16
12505,14
12506,12
12507,17
12508,2
12509,20
12510,10
12512,15
12513,10
12514,13
12516,9
12517,11
12519,22
12520,15
12522,2
12523,28
12526,30
12528,1
12529,30
12531,2
12532,14
12535,26
12536,1
12537,1
12538,26
12539,15
12540,1
12541,2
12542,18
12545,20
12546,13
12548,20
12549,12
12551,21
12552,13
12554,15
12555,9
12556,17
12557,17
12559,15
12560,14
12561,11
12563,18
12564,6
12566,2
12567,20
12568,7
12570,24
12573,23
12574,15
12576,11
12577,4
12579,4
12580,4
12581,11
12582,8
12583,8
12584,10
12585,7
12586,4
12587,10
12588,8
12589,14
12590,14
12591,2
12592,22
12593,11
12594,1
12595,25
12596,15
12599,14
12600,16
12602,14
12603,19
12605,14
12606,12
12607,16
12608,16
12609,1
12610,15
12611,17
12612,8
12613,14
12614,11
12615,17
12616,3
12617,24
12618,1
12619,4
12620,15
12623,26
12624,16
12627,24
12628,11
12630,7
12631,21
12633,10
12634,15
12635,12
12636,9
12637,9
12638,12
12639,16
12640,11
12641,16
12642,14
12643,12
